Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G_and_A,Performance_G_nonPK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G_and_A,Per_90_Minutes_G_nonPK,Per_90_Minutes_G_and_A_nonPK
480,George McCormick,eng ENG,DF,Middlesbrough,20,2005,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
481,Ross McCrorie,sct SCO,"MF,DF",Bristol City,27,1998,39,34,2836,31.5,3,6,9,3,0,0,5,0,0.1,0.19,0.29,0.1,0.29
482,Jamie McDonnell,nir NIR,MF,Oxford United,21,2004,11,6,530,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
483,Cole McGhee,eng ENG,DF,Sheffield Weds,19,2006,10,7,587,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
484,Riley McGree,au AUS,MF,Middlesbrough,26,1998,25,18,1483,16.5,5,3,8,5,0,0,3,0,0.3,0.18,0.49,0.3,0.49
485,Mark McGuinness,ie IRL,DF,Sheffield United,24,2001,25,21,1804,20.0,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05
486,Kenny McLean,sct SCO,MF,Norwich City,33,1992,42,41,3617,40.2,3,3,6,2,1,1,6,0,0.07,0.07,0.15,0.05,0.12
487,Sean McLoughlin,ie IRL,DF,Blackburn,28,1996,44,44,3909,43.4,0,0,0,0,0,0,11,1,0.0,0.0,0.0,0.0,0.0
488,Paddy McNair,nir NIR,DF,Hull City,30,1995,12,6,707,7.9,0,1,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13
489,Dan McNamara,ie IRL,DF,Millwall,26,1998,16,6,584,6.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
490,Charlie McNeill,eng ENG,"MF,FW",Sheffield Weds,21,2003,40,23,2053,22.8,4,1,5,4,0,1,3,0,0.18,0.04,0.22,0.18,0.22
491,Jakov Medić,hr CRO,DF,Norwich City,26,1998,16,13,1231,13.7,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07
492,Ben Mee,eng ENG,DF,Sheffield United,35,1989,15,14,1253,13.9,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07
493,Anis Mehmeti,al ALB,"MF,FW",Bristol City,24,2001,28,28,2338,26.0,8,6,14,8,0,0,6,0,0.31,0.23,0.54,0.31,0.54
494,Anis Mehmeti,al ALB,MF,Ipswich Town,24,2001,18,11,1029,11.4,2,1,3,2,0,0,4,0,0.17,0.09,0.26,0.17,0.26
495,Formose Mendy,sn SEN,"MF,DF",Watford,24,2001,6,2,181,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
496,Nampalys Mendy,sn SEN,MF,Watford,33,1992,25,17,1522,16.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
497,Chris Mepham,wls WAL,DF,West Brom,27,1997,25,21,1936,21.5,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05
498,Stephen Mfuni,eng ENG,DF,Watford,17,2008,8,8,669,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
499,Liam Millar,ca CAN,MF,Hull City,25,1999,33,22,1836,20.4,3,5,8,3,0,0,3,0,0.15,0.25,0.39,0.15,0.39
