,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Championship,2425,Sheffield United,Tom Cannon,IRL,FW,21,2002,15,7,682,7.6,1,1,2,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26
ENG-Championship,2425,Sheffield United,Tom Davies,ENG,MF,26,1998,13,6,673,7.5,1,1,2,1,0,0,4,0,0.13,0.13,0.27,0.13,0.27
ENG-Championship,2425,Sheffield United,Tyrese Campbell,ENG,FW,24,1999,33,20,1580,17.6,10,1,11,10,0,0,2,0,0.57,0.06,0.63,0.57,0.63
ENG-Championship,2425,Sheffield United,Vinicius Souza,BRA,MF,25,1999,35,32,2787,31.0,0,1,1,0,0,0,8,0,0.0,0.03,0.03,0.0,0.03
ENG-Championship,2425,Sheffield Weds,Akin Famewo,ENG,DF,25,1998,13,11,938,10.4,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1
ENG-Championship,2425,Sheffield Weds,Anthony Musaba,NED,"MF,FW",23,2000,29,12,1328,14.8,3,6,9,3,0,0,0,0,0.2,0.41,0.61,0.2,0.61
ENG-Championship,2425,Sheffield Weds,Barry Bannan,SCO,MF,34,1989,41,40,3461,38.5,4,5,9,4,0,0,7,0,0.1,0.13,0.23,0.1,0.23
ENG-Championship,2425,Sheffield Weds,Callum Paterson,SCO,"MF,FW",29,1994,27,14,1187,13.2,6,2,8,6,0,0,2,0,0.45,0.15,0.61,0.45,0.61
ENG-Championship,2425,Sheffield Weds,Charlie McNeill,ENG,"FW,MF",20,2003,4,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Di'Shon Bernard,JAM,DF,23,2000,27,26,2235,24.8,2,0,2,2,0,0,9,2,0.08,0.0,0.08,0.08,0.08
ENG-Championship,2425,Sheffield Weds,Djeidi Gassama,MTN,MF,20,2003,43,36,2975,33.1,7,1,8,7,0,0,4,0,0.21,0.03,0.24,0.21,0.24
ENG-Championship,2425,Sheffield Weds,Dominic Iorfa,ENG,DF,29,1995,22,17,1435,15.9,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06
ENG-Championship,2425,Sheffield Weds,Gabriel Otegbayo,,DF,,,11,4,480,5.3,1,0,1,1,0,0,0,0,0.19,0.0,0.19,0.19,0.19
ENG-Championship,2425,Sheffield Weds,Ibrahim Cissoko,NED,MF,21,2003,5,0,56,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Ike Ugbo,CAN,FW,25,1998,34,15,1278,14.2,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Jamal Lowe,JAM,"FW,MF",30,1994,24,12,960,10.7,3,2,5,3,0,0,2,0,0.28,0.19,0.47,0.28,0.47
ENG-Championship,2425,Sheffield Weds,James Beadle,ENG,GK,20,2004,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Josh Windass,ENG,"MF,FW",30,1994,44,38,3222,35.8,13,5,18,12,1,2,8,0,0.36,0.14,0.5,0.34,0.47
ENG-Championship,2425,Sheffield Weds,Liam Palmer,SCO,"DF,MF",32,1991,23,7,876,9.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Marvin Johnson,ENG,"MF,DF",33,1990,41,30,2795,31.1,0,2,2,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
ENG-Championship,2425,Sheffield Weds,Max Lowe,ENG,DF,27,1997,34,31,2684,29.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Michael Ihiekwe,ENG,DF,31,1992,22,20,1821,20.2,2,0,2,2,0,0,2,0,0.1,0.0,0.1,0.1,0.1
ENG-Championship,2425,Sheffield Weds,Michael Smith,ENG,FW,32,1991,41,16,1844,20.5,8,4,12,7,1,1,3,0,0.39,0.2,0.59,0.34,0.54
ENG-Championship,2425,Sheffield Weds,Nathaniel Chalobah,ENG,MF,29,1994,16,4,444,4.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Olaf Kobacki,POL,"FW,MF",23,2001,12,4,369,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Pierce Charles,NIR,GK,19,2005,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Pol Valentín,ESP,"MF,DF",27,1997,34,13,1527,17.0,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06
ENG-Championship,2425,Sheffield Weds,Ryo Hatsuse,JPN,DF,27,1997,6,5,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield Weds,Shea Charles,NIR,MF,20,2003,43,42,3631,40.3,1,5,6,1,0,0,10,0,0.02,0.12,0.15,0.02,0.15
ENG-Championship,2425,Sheffield Weds,Stuart Armstrong,SCO,MF,32,1992,11,6,536,6.0,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17
ENG-Championship,2425,Sheffield Weds,Svante Ingelsson,SWE,MF,26,1998,35,19,1692,18.8,1,5,6,1,0,0,5,0,0.05,0.27,0.32,0.05,0.32
ENG-Championship,2425,Sheffield Weds,Yan Valery,TUN,"DF,MF",25,1999,39,38,3154,35.0,3,4,7,3,0,0,7,0,0.09,0.11,0.2,0.09,0.2
ENG-Championship,2425,Stoke City,Ali Al Hamadi,IRQ,FW,22,2002,15,11,829,9.2,2,0,2,2,0,0,2,0,0.22,0.0,0.22,0.22,0.22
ENG-Championship,2425,Stoke City,Andrew Moran,IRL,MF,20,2003,35,26,2357,26.2,4,3,7,4,0,0,9,0,0.15,0.11,0.27,0.15,0.27
ENG-Championship,2425,Stoke City,André Vidigal,ANG,"FW,MF",25,1998,10,0,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Ashley Phillips,WAL,DF,19,2005,35,35,3077,34.2,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Bae Jun-ho,KOR,MF,20,2003,45,37,3260,36.2,3,5,8,3,0,0,5,0,0.08,0.14,0.22,0.08,0.22
ENG-Championship,2425,Stoke City,Ben Gibson,ENG,DF,31,1993,24,22,1946,21.6,3,0,3,3,0,0,6,0,0.14,0.0,0.14,0.14,0.14
ENG-Championship,2425,Stoke City,Ben Pearson,ENG,MF,29,1995,13,8,570,6.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Ben Wilmot,ENG,DF,24,1999,39,36,3242,36.0,3,0,3,3,0,0,9,0,0.08,0.0,0.08,0.08,0.08
ENG-Championship,2425,Stoke City,Bosun Lawal,IRL,DF,21,2003,7,1,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Daniel Johnson,JAM,MF,31,1992,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Emre Tezgel,ENG,FW,18,2005,12,2,298,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Enda Stevens,IRL,DF,34,1990,18,13,1194,13.3,0,2,2,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15
ENG-Championship,2425,Stoke City,Eric Bocat,FRA,DF,25,1999,30,23,2041,22.7,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04
ENG-Championship,2425,Stoke City,Jaden Dixon,ENG,DF,17,2007,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Jordan Thompson,NIR,MF,27,1997,23,13,1353,15.0,0,1,1,0,0,0,7,0,0.0,0.07,0.07,0.0,0.07
ENG-Championship,2425,Stoke City,Josh Laurent,ENG,MF,29,1995,3,3,270,3.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Josh Wilson-Esbrand,ENG,"DF,MF",21,2002,6,4,269,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
ENG-Championship,2425,Stoke City,Junior Tchamadeu,CMR,DF,20,2003,41,35,3136,34.8,1,2,3,1,0,0,10,0,0.03,0.06,0.09,0.03,0.09
ENG-Championship,2425,Stoke City,Lewis Baker,ENG,MF,29,1995,19,16,1475,16.4,6,2,8,4,2,2,3,0,0.37,0.12,0.49,0.24,0.37
ENG-Championship,2425,Stoke City,Lewis Koumas,WAL,MF,18,2005,43,26,2441,27.1,3,2,5,3,0,0,5,0,0.11,0.07,0.18,0.11,0.18
ENG-Championship,2425,Stoke City,Lynden Gooch,USA,"DF,MF",28,1995,20,12,1038,11.5,0,1,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09
ENG-Championship,2425,Stoke City,Michael Rose,SCO,DF,28,1995,22,13,1296,14.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Million Manhoef,NED,"MF,FW",22,2002,34,28,2422,26.9,5,5,10,5,0,0,1,0,0.19,0.19,0.37,0.19,0.37
ENG-Championship,2425,Stoke City,Nathan Lowe,ENG,"FW,MF",18,2005,10,5,468,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19
ENG-Championship,2425,Stoke City,Niall Ennis,ENG,FW,25,1999,9,1,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Ryan Mmaee,MAR,FW,26,1997,3,1,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Sam Gallagher,ENG,"FW,MF",28,1995,22,9,1024,11.4,3,1,4,3,0,0,5,0,0.26,0.09,0.35,0.26,0.35
ENG-Championship,2425,Stoke City,Sol Sidibé,ENG,MF,17,2007,8,3,306,3.4,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29
ENG-Championship,2425,Stoke City,Tatsuki Seko,JPN,MF,26,1997,25,18,1597,17.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Tom Cannon,IRL,FW,21,2002,22,22,1857,20.6,9,1,10,6,3,4,3,0,0.44,0.05,0.48,0.29,0.34
ENG-Championship,2425,Stoke City,Viktor Johansson,SWE,GK,25,1998,46,46,4140,46.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Stoke City,Wouter Burger,NED,MF,23,2001,39,37,3002,33.4,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06
