,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
345,Samuel Iling-Junior,eng ENG,"MF,DF",West Brom,21,2003,24,14,"1,289",14.3,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
346,Danny Imray,eng ENG,DF,West Brom,22,2003,16,13,"1,119",12.4,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,Matches
347,Tom Ince,eng ENG,MF,Watford,33,1992,27,10,"1,019",11.3,4,0,4,4,0,1,0,0,0.35,0,0.35,0.35,0.35,Matches
348,Svante Ingelsson,se SWE,MF,Sheffield Weds,27,1998,40,39,"3,344",37.2,1,0,1,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
349,Danny Ings,eng ENG,FW,Sheffield United,33,1992,23,5,619,6.9,2,0,2,2,0,0,1,0,0.29,0,0.29,0.29,0.29,Matches
350,Zeidane Inoussa,se SWE,"MF,FW",Swansea City,23,2002,25,12,"1,086",12.1,0,2,2,0,0,0,4,0,0,0.17,0.17,0,0.17,Matches
351,Dominic Iorfa,eng ENG,DF,Sheffield Weds,30,1995,34,32,"2,657",29.5,1,0,1,1,0,0,6,0,0.03,0,0.03,0.03,0.03,Matches
352,Nestory Irankunda,au AUS,"MF,FW",Watford,19,2006,40,22,"2,031",22.6,4,4,8,4,0,0,12,1,0.18,0.18,0.35,0.18,0.35,Matches
353,Mihailo Ivanović,rs SRB,FW,Millwall,20,2004,44,31,"2,987",33.2,9,3,12,9,0,1,2,0,0.27,0.09,0.36,0.27,0.36,Matches
354,Daniel Iversen,dk DEN,GK,Preston,28,1997,36,36,"3,195",35.5,0,1,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
355,Tomoki Iwata,jp JPN,"DF,MF",Birmingham City,28,1997,45,42,"3,811",42.3,3,1,4,3,0,0,8,0,0.07,0.02,0.09,0.07,0.09,Matches
356,Kayden Jackson,eng ENG,"MF,FW",Derby County,31,1994,19,2,383,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
357,Matty Jacob,eng ENG,DF,Hull City,24,2001,5,1,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Jordan James,wls WAL,MF,Leicester City,21,2004,34,27,"2,118",23.5,11,4,15,10,1,1,6,0,0.47,0.17,0.64,0.42,0.59,Matches
359,Matty James,eng ENG,MF,Wrexham,34,1991,37,24,"2,235",24.8,1,2,3,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,Matches
360,Caspar Jander,de GER,MF,Southampton,22,2003,36,32,"2,728",30.3,2,1,3,2,0,0,6,0,0.07,0.03,0.1,0.07,0.1,Matches
361,Daniel Jebbison,ca CAN,FW,Preston,21,2003,38,22,"2,012",22.4,6,2,8,6,0,0,2,0,0.27,0.09,0.36,0.27,0.36,Matches
362,Elias Jelert,dk DEN,"DF,MF",Southampton,22,2003,8,3,325,3.6,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
363,Eom Ji-sung,kr KOR,"MF,FW",Swansea City,23,2002,44,31,"2,442",27.1,2,2,4,2,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
364,Jamaldeen Jimoh,eng ENG,MF,West Brom,18,2006,10,4,352,3.9,0,1,1,0,0,0,0,0,0,0.26,0.26,0,0.26,Matches
365,Jeon Jinwoo,kr KOR,MF,Oxford United,25,1999,7,2,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Viktor Johansson,se SWE,GK,Stoke City,26,1998,25,25,"2,250",25,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
367,Ben Johnson,eng ENG,"DF,MF",Ipswich Town,25,2000,17,9,847,9.4,1,1,2,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
368,Reece Johnson,eng ENG,"MF,DF",Sheffield Weds,19,2006,12,4,459,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
369,Max Johnston,sct SCO,"DF,MF",Derby County,21,2003,15,11,962,10.7,0,1,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
370,Michael Johnston,ie IRL,MF,West Brom,26,1999,34,27,"2,305",25.6,2,9,11,2,0,0,3,0,0.08,0.35,0.43,0.08,0.43,Matches
371,Alfie Jones,ca CAN,DF,Middlesbrough,27,1997,22,22,"1,882",20.9,1,1,2,1,0,0,3,1,0.05,0.05,0.1,0.05,0.1,Matches
372,Lloyd Jones,eng ENG,DF,Charlton Athletic,29,1995,46,45,"3,944",43.8,1,1,2,1,0,0,9,0,0.02,0.02,0.05,0.02,0.05,Matches
373,Kyle Joseph,sct SCO,"MF,FW",Hull City,23,2001,44,27,"2,302",25.6,8,5,13,8,0,0,7,0,0.31,0.2,0.51,0.31,0.51,Matches
374,Bae Jun-ho,kr KOR,MF,Stoke City,21,2003,42,32,"2,923",32.5,2,3,5,2,0,0,1,0,0.06,0.09,0.15,0.06,0.15,Matches
375,Matěj Jurásek,cz CZE,"MF,FW",Norwich City,21,2003,16,6,492,5.5,0,2,2,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
376,James Justin,eng ENG,DF,Leicester City,27,1998,2,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Mathias Jørgensen,dk DEN,"FW,MF",Blackburn,24,2000,20,11,"1,093",12.1,5,0,5,5,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
378,Issa Kaboré,bf BFA,MF,Wrexham,24,2001,30,26,"2,262",25.1,0,8,8,0,0,0,3,0,0,0.32,0.32,0,0.32,Matches
379,Mamadou Kaly Sene,sn SEN,"FW,MF",Middlesbrough,24,2001,28,5,720,8,2,0,2,2,0,0,2,0,0.25,0,0.25,0.25,0.25,Matches
380,Abu Kamara,eng ENG,FW,Hull City,22,2003,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
381,Thomas Kaminski,be BEL,GK,Charlton Athletic,32,1992,37,37,"3,330",37,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
382,Abdoulaye Kanté,fr FRA,MF,Middlesbrough,20,2005,4,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Augustus Kargbo,sl SLE,MF,Blackburn,25,1999,10,3,446,5,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,Matches
384,Edo Kayembe,cd COD,"MF,FW",Watford,27,1998,37,28,"2,496",27.7,4,1,5,3,1,1,4,0,0.14,0.04,0.18,0.11,0.14,Matches
385,Will Keane,ie IRL,"FW,MF",Preston,32,1993,2,0,26,0.3,1,0,1,1,0,0,0,0,3.46,0,3.46,3.46,3.46,Matches
386,Kévin Keben,cm CMR,DF,Watford,21,2004,29,22,"2,114",23.5,0,1,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
387,Davis Keillor-Dunn,eng ENG,"FW,MF",Wrexham,27,1997,6,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
388,Daniel Kelly,sct SCO,MF,Millwall,19,2005,9,3,338,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Charlie Kelman,us USA,FW,Charlton Athletic,23,2001,33,19,"1,529",17,7,1,8,5,2,2,1,0,0.41,0.06,0.47,0.29,0.35,Matches
390,Kaine Kesler-Hayden,eng ENG,"DF,MF",Coventry City,22,2002,22,5,595,6.6,2,1,3,2,0,0,1,0,0.3,0.15,0.45,0.3,0.45,Matches
391,Josh Key,eng ENG,DF,Swansea City,25,1999,30,22,"2,037",22.6,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matches
392,Bilal El Khannouss,ma MAR,MF,Leicester City,21,2004,2,2,135,1.5,0,2,2,0,0,0,0,0,0,1.33,1.33,0,1.33,Matches
393,Ben Killip,eng ENG,GK,Portsmouth,29,1995,4,2,332,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
394,Cédric Kipré,ci CIV,DF,Ipswich Town,28,1996,32,29,"2,591",28.8,3,2,5,3,0,0,10,0,0.1,0.07,0.17,0.1,0.17,Matches
395,Makenzie Kirk,nir NIR,FW,Portsmouth,21,2004,14,4,459,5.1,1,0,1,1,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
396,Liam Kitching,eng ENG,DF,Coventry City,25,1999,38,37,"3,338",37.1,2,0,2,2,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
397,Luca Kjerrumgaard,dk DEN,FW,Watford,22,2003,43,35,"2,836",31.5,10,1,11,10,0,0,1,0,0.32,0.03,0.35,0.32,0.35,Matches
398,Christoph Klarer,at AUT,DF,Birmingham City,25,2000,43,43,"3,869",43,3,0,3,3,0,0,9,1,0.07,0,0.07,0.07,0.07,Matches
399,Harvey Knibbs,eng ENG,MF,Charlton Athletic,26,1999,26,7,674,7.5,3,0,3,3,0,0,4,0,0.4,0,0.4,0.4,0.4,Matches
400,Jason Knight,ie IRL,"MF,DF",Bristol City,24,2001,34,30,"2,774",30.8,0,2,2,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
401,Josh Knight,eng ENG,DF,Portsmouth,27,1997,14,10,974,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Olaf Kobacki,pl POL,"MF,FW",Sheffield Weds,24,2001,13,4,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Rayan Kolli,dz ALG,"FW,MF",QPR,20,2005,23,10,"1,054",11.7,5,0,5,5,0,0,1,0,0.43,0,0.43,0.43,0.43,Matches
404,Richard Kone,ci CIV,"FW,MF",QPR,22,2003,43,38,"3,320",36.9,10,2,12,9,1,1,7,0,0.27,0.05,0.33,0.24,0.3,Matches
405,Márk Kosznovszky,hu HUN,MF,Portsmouth,23,2002,15,6,643,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
406,Lewis Koumas,wls WAL,"MF,FW",Birmingham City,19,2005,23,7,754,8.4,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
407,Lewis Koumas,wls WAL,"MF,FW",Hull City,19,2005,17,4,627,7,3,0,3,3,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
408,Vladan Kovačević,ba BIH,GK,Norwich City,27,1998,45,45,"4,050",45,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
409,Filip Krastev,bg BUL,MF,Oxford United,23,2001,16,10,854,9.5,1,1,2,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
410,Mathias Kvistgaarden,dk DEN,"FW,MF",Norwich City,23,2002,36,12,"1,128",12.5,6,1,7,6,0,0,1,0,0.48,0.08,0.56,0.48,0.56,Matches
411,Hector Kyprianou,cy CYP,MF,Watford,24,2001,25,22,"1,911",21.2,0,1,1,0,0,0,8,0,0,0.05,0.05,0,0.05,Matches
412,Ethan Laird,eng ENG,"DF,MF",Birmingham City,24,2001,20,9,866,9.6,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches
413,Callum Lang,eng ENG,"MF,FW",Portsmouth,26,1998,8,7,575,6.4,2,0,2,2,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
414,Callum Lang,eng ENG,MF,Preston,26,1998,5,3,244,2.7,0,2,2,0,0,0,2,0,0,0.74,0.74,0,0.74,Matches
415,Sondre Langås,no NOR,DF,Derby County,24,2001,24,21,"1,968",21.9,3,1,4,3,0,0,4,0,0.14,0.05,0.18,0.14,0.18,Matches
416,Macaulay Langstaff,eng ENG,MF,Millwall,28,1997,37,12,"1,375",15.3,4,1,5,4,0,0,2,0,0.26,0.07,0.33,0.26,0.33,Matches
417,Will Lankshear,eng ENG,FW,Oxford United,20,2005,44,34,"2,864",31.8,11,2,13,11,0,0,3,1,0.35,0.06,0.41,0.35,0.41,Matches
418,Joshua Laqeretabua,fj FIJ,DF,Charlton Athletic,19,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Cyle Larin,ca CAN,FW,Southampton,30,1995,16,9,854,9.5,8,1,9,8,0,0,2,0,0.84,0.11,0.95,0.84,0.95,Matches
420,Jamaal Lascelles,eng ENG,DF,Leicester City,31,1993,9,7,591,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
421,Joël Latibeaudière,jm JAM,DF,Coventry City,25,2000,15,15,"1,273",14.1,0,1,1,0,0,0,1,1,0,0.07,0.07,0,0.07,Matches
422,Bosun Lawal,ie IRL,"DF,MF",Stoke City,22,2003,27,25,"2,105",23.4,1,0,1,1,0,0,7,1,0.04,0,0.04,0.04,0.04,Matches
423,Jonathan Lawson,eng ENG,FW,Watford,19,2005,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
424,Luke Le Roux,za RSA,MF,Portsmouth,25,2000,14,7,665,7.4,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
425,Miles Leaburn,eng ENG,FW,Charlton Athletic,21,2003,38,20,"2,032",22.6,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matches
426,Greg Leigh,jm JAM,"DF,MF",Oxford United,30,1994,16,10,892,9.9,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
427,Darragh Lenihan,ie IRL,DF,Middlesbrough,31,1994,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
428,Marc Leonard,sct SCO,MF,Birmingham City,23,2001,15,5,690,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
429,Ryan Leonard,eng ENG,DF,Millwall,33,1992,23,15,"1,427",15.9,1,2,3,1,0,0,4,0,0.06,0.13,0.19,0.06,0.19,Matches
430,Jamal Lewis,nir NIR,MF,Preston,27,1998,14,6,598,6.6,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
431,Liam Lindsay,sct SCO,DF,Preston,29,1995,26,17,"1,587",17.6,2,0,2,2,0,0,5,1,0.11,0,0.11,0.11,0.11,Matches
432,Matty Litherland,,MF,Blackburn,,,5,4,330,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Sam Long,eng ENG,DF,Oxford United,30,1995,40,34,"3,070",34.1,1,1,2,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches
434,Ryan Longman,eng ENG,MF,Wrexham,24,2000,33,23,"2,033",22.6,2,1,3,2,0,0,4,0,0.09,0.04,0.13,0.09,0.13,Matches
435,Imran Louza,ma MAR,MF,Watford,26,1999,42,41,"3,574",39.7,7,9,16,6,1,2,11,1,0.18,0.23,0.4,0.15,0.38,Matches
436,Zak Lovelace,eng ENG,FW,Millwall,19,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Jamal Lowe,jm JAM,"FW,MF",Sheffield Weds,31,1994,45,37,"3,216",35.7,4,3,7,4,0,0,4,0,0.11,0.08,0.2,0.11,0.2,Matches
438,Max Lowe,eng ENG,DF,Sheffield Weds,28,1997,28,27,"2,399",26.7,0,1,1,0,0,0,4,0,0,0.04,0.04,0,0.04,Matches
439,Milos Lukovic,rs SRB,FW,Preston,19,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
440,Joe Lumley,eng ENG,GK,Sheffield Weds,30,1995,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
441,John Lundstram,eng ENG,MF,Hull City,31,1994,29,16,"1,541",17.1,1,0,1,1,0,0,11,1,0.06,0,0.06,0.06,0.06,Matches
442,Massimo Luongo,au AUS,MF,Millwall,32,1992,9,7,567,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
443,Othmane Maamma,ma MAR,MF,Watford,19,2005,25,21,"1,625",18.1,4,1,5,4,0,0,1,0,0.22,0.06,0.28,0.22,0.28,Matches
444,Nicolas Madsen,dk DEN,MF,QPR,25,2000,38,33,"2,938",32.6,3,6,9,1,2,2,1,0,0.09,0.18,0.28,0.03,0.21,Matches
445,Edmond-Paris Maghoma,eng ENG,MF,Norwich City,24,2001,14,8,828,9.2,1,3,4,1,0,0,1,0,0.11,0.33,0.43,0.11,0.43,Matches
446,Lucien Mahovo,eng ENG,DF,Norwich City,20,2005,6,2,203,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
447,Josh Maja,ng NGA,FW,West Brom,26,1998,40,15,"1,543",17.1,4,1,5,3,1,1,1,0,0.23,0.06,0.29,0.17,0.23,Matches
448,Jovon Makama,eng ENG,"MF,FW",Norwich City,21,2004,28,18,"1,607",17.9,10,0,10,10,0,0,3,0,0.56,0,0.56,0.56,0.56,Matches
449,Christ Makosso,cg CGO,DF,Oxford United,21,2004,6,5,461,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
450,Adilson Malanda,fr FRA,DF,Middlesbrough,23,2001,21,20,"1,826",20.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
451,Mackenzie Maltby,eng ENG,DF,Sheffield Weds,20,2004,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Souleyman Mandey,at AUT,MF,West Brom,19,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
453,Million Manhoef,nl NED,MF,Stoke City,23,2002,45,33,"2,905",32.3,7,4,11,7,0,0,4,0,0.22,0.12,0.34,0.22,0.34,Matches
454,Ryan Manning,ie IRL,"DF,MF",Southampton,29,1996,43,35,"3,217",35.7,8,6,14,8,0,0,4,0,0.22,0.17,0.39,0.22,0.39,Matches
455,William Mannion,eng ENG,GK,Charlton Athletic,27,1998,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
456,Benson Manuel,ao ANG,FW,Swansea City,28,1997,6,1,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
457,Emiliano Marcondes,dk DEN,MF,Norwich City,30,1995,16,7,651,7.2,1,2,3,1,0,0,0,0,0.14,0.28,0.41,0.14,0.41,Matches
458,Jahnoah Markelo,sr SUR,FW,Coventry City,22,2003,5,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
459,Ephron Mason-Clark,jm JAM,MF,Coventry City,25,1999,42,36,"2,976",33.1,10,6,16,10,0,0,3,0,0.3,0.18,0.48,0.3,0.48,Matches
460,Eliot Matazo,be BEL,MF,Hull City,23,2002,1,1,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
461,Alex Matos,eng ENG,MF,Sheffield United,20,2004,8,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
462,Kuryū Matsuki,jp JPN,MF,Southampton,22,2003,20,11,"1,025",11.4,4,1,5,4,0,0,1,0,0.35,0.09,0.44,0.35,0.44,Matches
463,Hayden Matthews,au AUS,DF,Portsmouth,21,2004,13,9,779,8.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
464,Pelle Mattsson,dk DEN,MF,Norwich City,23,2001,33,30,"2,720",30.2,3,0,3,3,0,0,10,0,0.1,0,0.1,0.1,0.1,Matches
465,Azor Matusiwa,nl NED,MF,Ipswich Town,27,1998,45,45,"3,847",42.7,1,3,4,1,0,0,9,0,0.02,0.07,0.09,0.02,0.09,Matches
466,Stephy Mavididi,eng ENG,MF,Leicester City,27,1998,42,34,"2,662",29.6,3,1,4,3,0,0,4,0,0.1,0.03,0.14,0.1,0.14,Matches
467,Noah Mawene,eng ENG,MF,Preston,20,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
468,Fally Mayulu,fr FRA,FW,Bristol City,23,2002,10,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
469,Derek Mazou-Sacko,fr FRA,MF,Millwall,20,2004,21,11,994,11,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
470,Amadou Mbengue,sn SEN,DF,QPR,23,2002,41,36,"3,124",34.7,2,0,2,2,0,0,14,1,0.06,0,0.06,0.06,0.06,Matches
471,Kasey McAteer,ie IRL,MF,Leicester City,23,2001,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
472,Kasey McAteer,ie IRL,MF,Ipswich Town,23,2001,28,14,"1,257",14,3,1,4,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,Matches
473,Oliver McBurnie,sct SCO,FW,Hull City,29,1996,37,32,"2,907",32.3,17,7,24,14,3,3,8,0,0.53,0.22,0.74,0.43,0.65,Matches
474,Sam McCallum,eng ENG,"DF,MF",Sheffield United,24,2000,20,15,"1,201",13.3,1,1,2,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches
475,Alistair McCann,nir NIR,MF,Preston,25,1999,26,20,"1,742",19.4,1,1,2,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches
476,Alex McCarthy,eng ENG,GK,Southampton,35,1989,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
477,Cathal McCarthy,ie IRL,DF,Hull City,18,2006,6,1,232,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
478,James McClean,ie IRL,MF,Wrexham,36,1989,16,10,913,10.1,0,2,2,0,0,0,2,0,0,0.2,0.2,0,0.2,Matches
479,Ruairi Mcconville,nir NIR,DF,Norwich City,20,2005,25,24,"2,170",24.1,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
480,George McCormick,eng ENG,DF,Middlesbrough,20,2005,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
481,Ross McCrorie,sct SCO,"MF,DF",Bristol City,27,1998,39,34,"2,836",31.5,3,6,9,3,0,0,5,0,0.1,0.19,0.29,0.1,0.29,Matches
482,Jamie McDonnell,nir NIR,MF,Oxford United,21,2004,11,6,530,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
483,Cole McGhee,eng ENG,DF,Sheffield Weds,19,2006,10,7,587,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
484,Riley McGree,au AUS,MF,Middlesbrough,26,1998,25,18,"1,483",16.5,5,3,8,5,0,0,3,0,0.3,0.18,0.49,0.3,0.49,Matches
485,Mark McGuinness,ie IRL,DF,Sheffield United,24,2001,25,21,"1,804",20,1,0,1,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
486,Kenny McLean,sct SCO,MF,Norwich City,33,1992,42,41,"3,617",40.2,3,3,6,2,1,1,6,0,0.07,0.07,0.15,0.05,0.12,Matches
487,Sean McLoughlin,ie IRL,DF,Blackburn,28,1996,44,44,"3,909",43.4,0,0,0,0,0,0,11,1,0,0,0,0,0,Matches
488,Paddy McNair,nir NIR,DF,Hull City,30,1995,12,6,707,7.9,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
489,Dan McNamara,ie IRL,DF,Millwall,26,1998,16,6,584,6.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
490,Charlie McNeill,eng ENG,"MF,FW",Sheffield Weds,21,2003,40,23,"2,053",22.8,4,1,5,4,0,1,3,0,0.18,0.04,0.22,0.18,0.22,Matches
491,Jakov Medić,hr CRO,DF,Norwich City,26,1998,16,13,"1,231",13.7,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
492,Ben Mee,eng ENG,DF,Sheffield United,35,1989,15,14,"1,253",13.9,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
493,Anis Mehmeti,al ALB,"MF,FW",Bristol City,24,2001,28,28,"2,338",26,8,6,14,8,0,0,6,0,0.31,0.23,0.54,0.31,0.54,Matches
494,Anis Mehmeti,al ALB,MF,Ipswich Town,24,2001,18,11,"1,029",11.4,2,1,3,2,0,0,4,0,0.17,0.09,0.26,0.17,0.26,Matches
495,Formose Mendy,sn SEN,"MF,DF",Watford,24,2001,6,2,181,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
496,Nampalys Mendy,sn SEN,MF,Watford,33,1992,25,17,"1,522",16.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
497,Chris Mepham,wls WAL,DF,West Brom,27,1997,25,21,"1,936",21.5,1,0,1,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches
498,Stephen Mfuni,eng ENG,DF,Watford,17,2008,8,8,669,7.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
499,Liam Millar,ca CAN,MF,Hull City,25,1999,33,22,"1,836",20.4,3,5,8,3,0,0,3,0,0.15,0.25,0.39,0.15,0.39,Matches
