,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
77,Krystian Bielik,pl POL,"DF,MF",West Brom,27,1998,17,11,942,10.5,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches
78,Tyler Bindon,nz NZL,DF,Sheffield United,20,2005,25,22,"2,029",22.5,1,0,1,1,0,0,1,0,0.04,0,0.04,0.04,0.04,Matches
79,Max Bird,eng ENG,MF,Bristol City,24,2000,15,4,565,6.3,2,1,3,2,0,0,1,0,0.32,0.16,0.48,0.32,0.48,Matches
80,Colby Bishop,eng ENG,FW,Portsmouth,28,1996,42,37,"3,397",37.7,3,1,4,2,1,2,4,0,0.08,0.03,0.11,0.05,0.08,Matches
81,Corey Blackett-Taylor,eng ENG,MF,Derby County,27,1997,9,2,273,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
82,Harvey Blair,eng ENG,MF,Portsmouth,21,2003,15,4,485,5.4,0,1,1,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches
83,Eric Bocat,fr FRA,"DF,MF",Stoke City,26,1999,29,21,"1,816",20.2,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
84,Marc Bola,eng ENG,"DF,MF",Watford,27,1997,37,31,"2,899",32.2,2,3,5,2,0,0,2,0,0.06,0.09,0.16,0.06,0.16,Matches
85,Neto Borges,br BRA,"DF,MF",Middlesbrough,28,1996,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Neto Borges,br BRA,"MF,DF",Bristol City,28,1996,38,30,"2,726",30.3,0,3,3,0,0,0,7,0,0,0.1,0.1,0,0.1,Matches
87,Raphael Borges Rodrigues,au AUS,MF,Coventry City,21,2003,2,0,36,0.4,0,1,1,0,0,0,0,0,0,2.5,2.5,0,2.5,Matches
88,Ollie Bostock,wls WAL,MF,West Brom,18,2007,7,2,205,2.3,1,0,1,1,0,0,0,0,0.44,0,0.44,0.44,0.44,Matches
89,Edoardo Bove,it ITA,"MF,FW",Watford,23,2002,11,2,275,3.1,1,0,1,1,0,0,2,0,0.33,0,0.33,0.33,0.33,Matches
90,Ibane Bowat,sct SCO,DF,Portsmouth,22,2002,17,8,802,8.9,2,0,2,2,0,0,1,0,0.22,0,0.22,0.22,0.22,Matches
91,Róbert Boženík,sk SVK,FW,Stoke City,25,1999,22,9,829,9.2,1,0,1,1,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
92,Tom Bradshaw,wls WAL,FW,Oxford United,33,1992,5,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Robbie Brady,ie IRL,"DF,FW",Preston,33,1992,5,0,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Cameron Bragg,eng ENG,MF,Southampton,20,2005,16,7,688,7.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
95,Cameron Brannagan,eng ENG,MF,Oxford United,29,1996,37,36,"3,085",34.3,6,3,9,4,2,2,8,0,0.18,0.09,0.26,0.12,0.2,Matches
96,Brau,es ESP,DF,Coventry City,23,2001,9,1,203,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,James Bree,eng ENG,"MF,DF",Charlton Athletic,27,1997,21,19,"1,671",18.6,2,3,5,2,0,0,7,0,0.11,0.16,0.27,0.11,0.27,Matches
98,James Bree,eng ENG,DF,Southampton,27,1997,18,17,"1,444",16,2,2,4,2,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
99,Ben Brereton,cl CHI,MF,Derby County,26,1999,40,39,"3,044",33.8,7,3,10,6,1,1,8,0,0.21,0.09,0.3,0.18,0.27,Matches
100,Rhian Brewster,eng ENG,"MF,FW",Derby County,25,2000,29,19,"1,460",16.2,7,2,9,6,1,1,1,0,0.43,0.12,0.55,0.37,0.49,Matches
101,Callum Brittain,eng ENG,"DF,MF",Middlesbrough,27,1998,41,41,"3,615",40.2,0,4,4,0,0,0,7,0,0,0.1,0.1,0,0.1,Matches
102,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,27,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
